,sample,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,,,,,,,
p1k_00305,quinone__menF_ale8__1,Respiratory quinone,quinone,menF_ale8,1,Escherichia coli EEP_menF.8.45.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN14A_S70_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN14A_S70_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menF_ale8,True,True,5/21/18,2,,,,,,
p1k_00306,quinone__menF_ale8__2,Respiratory quinone,quinone,menF_ale8,2,Escherichia coli EEP_menF.8.45.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN14B_S68_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN14B_S68_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menF_ale8,True,True,5/21/18,2,,,,,,
p1k_00307,quinone__delmenFubiC__1,Respiratory quinone,quinone,delmenFubiC,1,Escherichia coli K-12 MG1655 del_menFubiC,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN15A_S32_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN15A_S32_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:delmenFubiC,True,True,5/21/18,2,,,,,,
p1k_00308,quinone__delmenFubiC__2,Respiratory quinone,quinone,delmenFubiC,2,Escherichia coli K-12 MG1655 del_menFubiC,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN15B_S33_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN15B_S33_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:delmenFubiC,True,True,5/21/18,2,,,,,,
p1k_00309,quinone__menFubiC_ale1__1,Respiratory quinone,quinone,menFubiC_ale1,1,Escherichia coli EEP_menFubiC.1.51.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN16A_S34_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN16A_S34_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale1,True,True,5/21/18,2,,,,,,
p1k_00310,quinone__menFubiC_ale1__2,Respiratory quinone,quinone,menFubiC_ale1,2,Escherichia coli EEP_menFubiC.1.51.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN16B_S35_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN16B_S35_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale1,True,True,5/21/18,2,,,,,,
p1k_00311,quinone__menFubiC_ale2__1,Respiratory quinone,quinone,menFubiC_ale2,1,Escherichia coli EEP_menFubiC.2.57.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN17A_S36_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN17A_S36_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale2,True,True,5/21/18,2,,,,,,
p1k_00312,quinone__menFubiC_ale2__2,Respiratory quinone,quinone,menFubiC_ale2,2,Escherichia coli EEP_menFubiC.2.57.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN17B_S37_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN17B_S37_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale2,True,True,5/21/18,2,,,,,,
p1k_00313,quinone__menFubiC_ale3__1,Respiratory quinone,quinone,menFubiC_ale3,1,Escherichia coli EEP_menFubiC.3.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN18A_S38_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN18A_S38_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale3,True,True,5/21/18,2,,,,,,
p1k_00314,quinone__menFubiC_ale3__2,Respiratory quinone,quinone,menFubiC_ale3,2,Escherichia coli EEP_menFubiC.3.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN18B_S39_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN18B_S39_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale3,True,True,5/21/18,2,,,,,,
p1k_00315,quinone__menFubiC_ale4__1,Respiratory quinone,quinone,menFubiC_ale4,1,Escherichia coli EEP_menFubiC.4.55.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN19A_S40_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN19A_S40_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale4,True,True,5/21/18,2,,,,,,
p1k_00316,quinone__menFubiC_ale4__2,Respiratory quinone,quinone,menFubiC_ale4,2,Escherichia coli EEP_menFubiC.4.55.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295,p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN19B_S41_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN19B_S41_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,quinone:menFubiC_ale4,True,True,5/21/18,2,,,,,,
p1k_00321,oxyR__glu_ale4__1,OxyR ALE,oxyR,glu_ale4,1,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668318,SRR9919228,s3://precise-db/raw_data/oxyR/PAL035_S35_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:glu_ale4,True,True,3/8/19,2
p1k_00322,oxyR__glu_ale4__2,OxyR ALE,oxyR,glu_ale4,2,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668319,SRR9919229,s3://precise-db/raw_data/oxyR/PAL036_S36_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:glu_ale4,True,True,3/8/19,2
p1k_00323,oxyR__glu_ale4_h2o2__1,OxyR ALE,oxyR,glu_ale4_h2o2,1,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668320,SRR9919230,s3://precise-db/raw_data/oxyR/PAL037_S37_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:glu_ale4_h2o2,True,True,3/8/19,2
p1k_00324,oxyR__glu_ale4_h2o2__2,OxyR ALE,oxyR,glu_ale4_h2o2,2,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668321,SRR9919231,s3://precise-db/raw_data/oxyR/PAL038_S38_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:glu_ale4_h2o2,True,True,3/8/19,2
p1k_00325,oxyR__oxyR_ale17__1,OxyR ALE,oxyR,oxyR_ale17,1,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668322,SRR9919232,s3://precise-db/raw_data/oxyR/PAL039_S39_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale17,True,True,3/8/19,2
p1k_00326,oxyR__oxyR_ale17__2,OxyR ALE,oxyR,oxyR_ale17,2,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668323,SRR9919233,s3://precise-db/raw_data/oxyR/PAL040_S40_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale17,True,True,3/8/19,2
p1k_00327,oxyR__oxyR_ale17_h2o2__1,OxyR ALE,oxyR,oxyR_ale17_h2o2,1,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668324,SRR9919234,s3://precise-db/raw_data/oxyR/PAL041_S41_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale17_h2o2,True,True,3/8/19,2
p1k_00328,oxyR__oxyR_ale17_h2o2__2,OxyR ALE,oxyR,oxyR_ale17_h2o2,2,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668325,SRR9919235,s3://precise-db/raw_data/oxyR/PAL042_S42_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale17_h2o2,True,True,3/8/19,2
p1k_00329,oxyR__oxyR_ale18__1,OxyR ALE,oxyR,oxyR_ale18,1,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668326,SRR9919236,s3://precise-db/raw_data/oxyR/PAL043_S43_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale18,True,True,3/8/19,2
p1k_00330,oxyR__oxyR_ale18__2,OxyR ALE,oxyR,oxyR_ale18,2,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668327,SRR9919237,s3://precise-db/raw_data/oxyR/PAL044_S44_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale18,True,True,3/8/19,2
p1k_00331,oxyR__oxyR_ale18_h2o2__1,OxyR ALE,oxyR,oxyR_ale18_h2o2,1,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668328,SRR9919238,s3://precise-db/raw_data/oxyR/PAL045_S45_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale18_h2o2,True,True,3/8/19,2
p1k_00332,oxyR__oxyR_ale18_h2o2__2,OxyR ALE,oxyR,oxyR_ale18_h2o2,2,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668329,SRR9919239,s3://precise-db/raw_data/oxyR/PAL046_S46_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale18_h2o2,True,True,3/8/19,2
p1k_00333,oxyR__oxyR_ale19__1,OxyR ALE,oxyR,oxyR_ale19,1,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668330,SRR9919240,s3://precise-db/raw_data/oxyR/PAL047_S47_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale19,True,True,3/8/19,2
p1k_00334,oxyR__oxyR_ale19__2,OxyR ALE,oxyR,oxyR_ale19,2,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668331,SRR9919241,s3://precise-db/raw_data/oxyR/PAL048_S48_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale19,True,True,3/8/19,2
p1k_00335,oxyR__oxyR_ale19_h2o2__1,OxyR ALE,oxyR,oxyR_ale19_h2o2,1,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668332,SRR9919242,s3://precise-db/raw_data/oxyR/PAL049_S49_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale19_h2o2,True,True,3/8/19,2
p1k_00336,oxyR__oxyR_ale19_h2o2__2,OxyR ALE,oxyR,oxyR_ale19_h2o2,2,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668333,SRR9919243,s3://precise-db/raw_data/oxyR/PAL050_S50_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale19_h2o2,True,True,3/8/19,2
p1k_00337,oxyR__oxyR_ale20__1,OxyR ALE,oxyR,oxyR_ale20,1,Escherichia coli OxyR.20.40,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00317,p1k_00318,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1093/molbev/msz251,GSE135516,SRX6668334,SRR9919244,s3://precise-db/raw_data/oxyR/PAL051_S51_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L002_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L003_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L001_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L002_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L003_R2_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,oxyR:oxyR_ale20,True,True,3/8/19,2
